times,T2,R2,TD2,PSFC,wspd10,wdir10,wspd67,wdir65,wspd88,wspd108,wdir106
2018-05-22 18:00:00,288.09116,55.30257,6.0181904,987.5033,3.5532987,234.02548,4.041509122018267,232.0924791208233,4.170251299467881,4.2762667197855,231.96808924681295
2018-05-22 18:10:30,287.85577,51.36175,4.7456555,987.2277,3.434262,232.13551,4.270523656363202,231.85178215719267,4.365648046639789,4.439492686338179,231.64463363402302
2018-05-22 18:21:00,287.86908,50.67086,4.5657625,987.38257,3.3656483,233.04424,4.262257472448155,232.45569338206127,4.363601544060505,4.441868479417734,232.17765000553402
2018-05-22 18:30:00,287.92355,50.447956,4.5534067,987.50446,3.3764787,233.74043,4.290865622660936,233.06923144083927,4.392668745650859,4.471276669676708,232.7771555235233
2018-05-22 18:40:30,287.88736,50.612007,4.5661144,987.3338,3.3998063,234.1734,4.322239480051697,233.487609277184,4.426504445076354,4.507072157449578,233.18214506508784
2018-05-22 18:51:00,287.87448,50.775284,4.5999417,987.6891,3.3795989,234.24931,4.340572269658516,233.57198742916992,4.448611405861346,4.531814938898354,233.24846102406093
2018-05-22 19:00:00,287.88293,50.870964,4.634434,987.67944,3.432912,234.68373,4.4026326685954,234.0013863615182,4.510967286144714,4.594309944260744,233.66631719688206
2018-05-22 19:10:30,287.7816,51.37816,4.681781,987.6105,3.3804119,235.19434,4.377086013236399,234.57097145772042,4.489088016613328,4.575071501448987,234.20003718178185
2018-05-22 19:21:00,287.64548,52.046158,4.739524,987.50665,3.3773966,235.82222,4.424384650360191,235.08934416612027,4.5410992797019585,4.630528831223448,234.69912976129743
2018-05-22 19:30:00,287.61084,52.388157,4.800533,987.4945,3.423224,236.614,4.4687186525849345,235.78500504602374,4.586447617127173,4.676460841390515,235.37853973781154
2018-05-22 19:40:30,287.404,53.68099,4.9555793,987.5704,3.3189812,237.29668,4.440482136797041,236.53334898469612,4.573249242553901,4.6759900263470096,236.07029760740883
2018-05-22 19:51:00,286.9828,55.81249,5.1184654,987.48987,2.9097052,238.21619,4.436001712193722,237.0397937519823,4.600709698230386,4.726306368961527,236.41869991194318
2018-05-22 20:00:00,286.90915,57.04135,5.360208,987.3691,2.7947915,238.24466,4.423704455965613,236.85073467985842,4.638732463041085,4.802617649288823,236.01691366466667
2018-05-22 20:10:30,285.8965,61.68337,5.528013,987.43835,2.3700507,238.26495,4.5127716885919344,236.33952254330634,4.751476394852655,4.932468035042674,235.32399873624132
2018-05-22 20:21:00,284.40665,68.595924,5.635034,987.2665,2.6617527,238.73584,4.671296672198052,236.31212135797267,4.9247716768882315,5.116166302981321,235.07697941913062
2018-05-22 20:30:00,284.29187,69.35951,5.683914,987.4288,2.7150476,240.04129,4.7729530795634565,236.8803922329776,5.0317110696202745,5.226458215062547,235.3931121157418
2018-05-22 20:40:30,282.8937,71.763916,4.8335524,987.57904,2.9396274,240.32092,4.888444541947525,236.56833762047597,5.149895532915578,5.346589074707963,234.90627014901983
2018-05-22 20:51:00,282.18243,70.828285,3.9669209,987.6742,3.1077843,240.08676,5.076169272271025,235.97624952055256,5.337489608221927,5.534633835741541,234.18808506257864
2018-05-22 21:00:00,282.02463,72.1054,4.068171,987.62494,3.2033262,239.30692,5.238100927251354,235.0543858347848,5.499292115742993,5.696584005360789,233.1944112662968
2018-05-22 21:10:30,281.8203,73.37567,4.118901,987.6238,3.311534,238.72424,5.446746336785025,234.30723796867616,5.707842800389228,5.905377423669899,232.3394217257389
2018-05-22 21:21:00,281.6283,74.55847,4.160368,987.71704,3.3936784,238.07352,5.638621011158396,233.53912077951418,5.901441869729364,6.100427725717286,231.44661726763584
2018-05-22 21:30:00,281.49966,75.59036,4.23089,987.78516,3.430966,237.64223,5.781821790545324,232.85907827018377,6.0472793678662935,6.2479300763073695,230.64873595075116
2018-05-22 21:40:30,281.29337,76.58664,4.217158,987.697,3.451104,236.92259,5.911232407785782,231.95798015047657,6.180755114957737,6.383962060323931,229.60018397850862
2018-05-22 21:51:00,281.11072,77.481926,4.2051644,987.8102,3.4788315,236.56525,6.066006222550584,231.41031658052958,6.340626987987978,6.546791653498811,228.8793874733833
2018-05-22 22:00:00,280.98453,78.2349,4.219953,987.9467,3.4784653,237.0128,6.175614985497566,231.5305953255064,6.453757657426168,6.660901842529416,228.80042904349364
2018-05-22 22:10:30,280.80273,78.94396,4.1716046,987.97095,3.4806824,237.27138,6.297795595086269,231.31468842092082,6.579152882956123,6.7860060077188535,228.38651705160245
2018-05-22 22:21:00,280.64072,79.52982,4.1191807,988.04474,3.4913726,236.7223,6.451904666814127,230.50738056068823,6.73704140231477,6.942622496585975,227.46190177159403
2018-05-22 22:30:00,280.56372,79.99931,4.1277323,988.1417,3.5064056,236.01404,6.603944520545674,229.83489695156183,6.890233532793745,7.092892771066016,226.71447814318725
2018-05-22 22:40:30,280.45505,80.36511,4.0867977,988.26904,3.5313911,235.71321,6.773966222323424,229.4163272838971,7.059219039781615,7.2560759086295965,226.21143421753575
2018-05-22 22:51:00,280.35095,80.673225,4.039839,988.3351,3.5490704,235.22942,6.9256019952797585,228.84809952803437,7.208982174578644,7.399750448238771,225.59147526528275
