times,T2,R2,TD2,PSFC,wspd10,wdir10,wspd67,wdir65,wspd88,wspd108,wdir106
2018-05-22 18:00:00,288.09116,55.30257,6.0181904,987.5033,3.5532987,234.02548,4.041509122018267,232.0924791208233,4.170251299467881,4.2762667197855,231.96808924681295
2018-05-22 18:10:30,288.51196,52.939114,5.782838,987.22955,2.9581926,232.60724,3.9534480389975295,232.3182248710622,4.077878349621457,4.179772735020165,232.07604481801835
2018-05-22 18:21:00,288.2453,51.04503,5.016829,987.3871,3.2480757,233.14304,4.019388832731542,232.82012174680398,4.1107349060457565,4.186189816852152,232.57707617405953
2018-05-22 18:30:00,288.2094,50.676014,4.880602,987.5112,3.3229783,233.65852,4.091534779666832,233.27574057956443,4.177175123256026,4.247171199831405,233.0451920382864
2018-05-22 18:40:30,288.05695,51.04486,4.843211,987.3398,3.3745685,233.95671,4.135911071572167,233.59246120015888,4.219892096443522,4.288080518220201,233.3561666864694
2018-05-22 18:51:00,287.9502,51.539955,4.881967,987.6903,3.351225,234.01172,4.141694649493131,233.65673965133016,4.226911369315172,4.295985351411489,233.4260664357243
2018-05-22 19:00:00,287.94727,51.78806,4.947535,987.6795,3.3725433,234.51395,4.1819304780574065,234.16151653501043,4.2698303996643965,4.341032638156734,233.92033110179773
2018-05-22 19:10:30,287.76376,52.565807,4.990021,987.60516,3.3257854,235.05505,4.150229439293819,234.8145702140876,4.237371561801323,4.307871110631559,234.5376071902474
2018-05-22 19:21:00,287.53745,53.52305,5.0373154,987.5018,3.323355,235.69655,4.191687633182979,235.32290087387682,4.278722970339925,4.34911699906192,235.04400432176752
2018-05-22 19:30:00,287.49652,53.9279,5.106643,987.49603,3.337438,236.54697,4.218584391512333,236.08848594311726,4.309209977784846,4.382051934000423,235.7804982011299
2018-05-22 19:40:30,287.18082,55.17526,5.1391544,987.5656,3.2834408,237.07649,4.2570336067710866,236.7355132257433,4.344966192132365,4.415594537638483,236.41420761891712
2018-05-22 19:51:00,286.69794,57.204655,5.203882,987.4874,3.1102433,237.64049,4.3051036997494,237.0042375735984,4.394545099299142,4.466342568926326,236.68574141805763
2018-05-22 20:00:00,286.60342,57.98439,5.308563,987.3717,3.0769339,237.1261,4.356481527548975,236.54725341712748,4.463857840799403,4.54821768872683,236.20243562557084
2018-05-22 20:10:30,285.73856,62.25506,5.5110207,987.4431,2.7355838,236.68297,4.451469007134802,236.20560811174116,4.583041373263662,4.682651617090979,235.6471131459116
2018-05-22 20:21:00,284.80692,67.185356,5.7187366,987.277,2.793797,237.69537,4.622417276437538,236.26911770435734,4.773759002959837,4.885344023816199,235.47403258604004
2018-05-22 20:30:00,284.60565,68.47923,5.8002024,987.443,2.7182717,239.8353,4.719134651368022,236.82251622751045,4.885959499942208,5.007182143448004,235.8287181130284
2018-05-22 20:40:30,284.02753,68.47544,5.2488894,987.5989,2.8083973,241.20518,4.826196959983175,236.51308561642654,5.012011259002257,5.143858783240611,235.31130121613535
2018-05-22 20:51:00,283.62625,69.02036,4.9793773,987.6951,2.8203528,241.68245,5.000936633893612,235.89244847389975,5.205373795530619,5.347348233403139,234.50039054809622
2018-05-22 21:00:00,283.32138,70.43083,4.976116,987.64557,2.8273163,241.23907,5.151152920231125,234.95151654975842,5.371124963407583,5.521568871510684,233.42738077190643
2018-05-22 21:10:30,282.95026,72.04253,4.942797,987.64307,2.8545449,241.19495,5.3470097353717065,234.19276596528294,5.584029745690103,5.743898745541472,232.51223752331035
2018-05-22 21:21:00,282.61017,73.51146,4.903599,987.7363,2.870874,241.11398,5.526621431102796,233.40846197547296,5.780739911752453,5.950465310514239,231.5566027733281
