times,T2,R2,TD2,PSFC,wspd10,wdir10,wspd67,wdir65,wspd88,wspd108,wdir106
2018-05-22 18:00:00,288.09116,55.30257,6.0181904,987.5033,3.5532987,234.02548,4.041509122018267,232.0924791208233,4.170251299467881,4.2762667197855,231.96808924681295
2018-05-22 18:10:30,288.15897,50.00284,4.644274,987.2299,3.4166744,232.07614,4.151345018182964,231.97792383090913,4.228188510223058,4.289248806420279,231.79727202527454
2018-05-22 18:21:00,288.10056,49.4938,4.4455295,987.38794,3.453863,232.65547,4.177020068130009,232.38916637658545,4.24996451294669,4.30852881295937,232.19624542582855
2018-05-22 18:30:00,288.13602,49.4508,4.4657903,987.51086,3.4577644,233.21352,4.191453788727632,232.91737308259164,4.2634303813787895,4.321118837720352,232.74216848115938
2018-05-22 18:40:30,288.02792,50.12202,4.557532,987.34155,3.4581292,233.64043,4.199277878866509,233.34201777118642,4.272811527558619,4.331301773453289,233.15446337325875
2018-05-22 18:51:00,287.93222,50.866737,4.678661,987.693,3.4168706,233.78264,4.195653816311639,233.47082201395216,4.271239502551991,4.331033026426068,233.27954611309076
2018-05-22 19:00:00,287.9229,51.307404,4.792549,987.6775,3.4406624,234.34653,4.231664694938786,234.03325272416168,4.30874110467292,4.369834724255533,233.81474119204682
2018-05-22 19:10:30,287.74878,52.3097,4.906719,987.6118,3.3590949,234.9697,4.194922251433784,234.72509391401888,4.276973602205653,4.341326699222222,234.48211390687925
2018-05-22 19:21:00,287.52414,53.424675,4.998817,987.51013,3.3338127,235.72086,4.244398259212868,235.32442001298605,4.330428809035981,4.397109731976195,235.05142799583962
2018-05-22 19:30:00,287.48532,53.956814,5.1038904,987.5008,3.3190222,236.68233,4.262468593010961,236.12963333666193,4.358057562377385,4.431599854333764,235.80671815434718
2018-05-22 19:40:30,287.17596,55.5162,5.222393,987.5744,3.1738517,237.47128,4.290939550070355,236.85750760293655,4.401643797363452,4.484769652468119,236.37843828942104
2018-05-22 19:51:00,286.68216,57.922237,5.3668604,987.49713,2.920001,238.18527,4.3358644923391045,237.2569460178993,4.457869393577312,4.547809792440204,236.73430820422132
2018-05-22 20:00:00,286.5641,59.79004,5.7096157,987.37897,2.7078044,238.05406,4.400900397516369,237.0658151433562,4.5597078019707,4.671089929577108,236.30879623626214
2018-05-22 20:10:30,285.6399,64.81511,5.9943485,987.45013,2.3665924,238.26117,4.5094162661409705,236.7430877067563,4.694904681396117,4.822080159165121,235.65059101894485
2018-05-22 20:21:00,284.90765,68.24449,6.038487,987.28674,2.6337764,239.95561,4.671726420687873,236.60960355342468,4.879926446818876,5.021416916111667,235.36715060148208
2018-05-22 20:30:00,284.71292,69.40313,6.094392,987.44885,2.5899208,242.34943,4.763287318459009,237.13362740888456,4.988891849172989,5.141600234253329,235.66752776000345
2018-05-22 20:40:30,284.22928,69.02247,5.554639,987.59875,2.659873,243.49098,4.863876731118292,236.81018108513038,5.107439040160958,5.272045864978553,235.15657061080768
2018-05-22 20:51:00,283.84283,69.0683,5.1957426,987.69366,2.695789,243.77371,5.035914616172103,236.20448702321684,5.294603761085267,5.4694831655299305,234.40003587524063
2018-05-22 21:00:00,283.51645,70.51823,5.1801705,987.64575,2.7322235,243.23193,5.184137526602174,235.2609135746459,5.454260744333735,5.636887753562889,233.36665124810023
2018-05-22 21:10:30,283.11792,72.20454,5.1353955,987.6428,2.7884312,242.9821,5.380752018130211,234.47024691804194,5.662861577387287,5.853361154625516,232.46007861569598
2018-05-22 21:21:00,282.75323,73.73766,5.0846944,987.7355,2.826759,242.71323,5.564958023144988,233.64977886255568,5.858563465093959,6.056583869161681,231.51529257399903
2018-05-22 21:30:00,282.48132,74.95784,5.056894,987.80396,2.8379025,242.56569,5.700217824497371,232.98172142404576,6.00489477159214,6.209697273502837,230.68352979798448
2018-05-22 21:40:30,282.18997,76.03797,4.9798613,987.7099,2.8340962,241.77606,5.806539368761635,232.26056383180136,6.132415594908719,6.349748395848059,229.61801902812084
2018-05-22 21:51:00,281.91595,77.11504,4.915565,987.82336,2.85245,241.47945,5.9244260385990355,232.01433242179985,6.2769651848522505,6.509636650227384,228.92995573669359
2018-05-22 22:00:00,281.7117,77.97958,4.876739,987.95306,2.8560436,242.2904,6.001722879037425,232.39875332884446,6.374751244576662,6.618606846329985,228.88215973418556
2018-05-22 22:10:30,281.47696,78.81424,4.8009725,987.9799,2.8605752,242.79295,6.085728069230333,232.3881465718139,6.476268729741697,6.7284372173820435,228.49764644915717
2018-05-22 22:21:00,281.25296,79.64911,4.733698,988.0542,2.8836677,242.20201,6.2011548384114885,231.62921887688472,6.60589543795051,6.863824722322939,227.59469837817647
2018-05-22 22:30:00,281.07275,80.45605,4.7020845,988.151,2.9089053,241.2939,6.33331129405099,230.98661403868658,6.739726287886752,6.995972402533529,226.85071391540328
2018-05-22 22:40:30,280.86227,81.29588,4.6451526,988.2757,2.9473135,240.9979,6.4976619049048665,230.47692626615682,6.890509380247919,7.135911573104267,226.3203544319188
2018-05-22 22:51:00,280.6656,82.04497,4.5841312,988.34094,2.9755602,240.50441,6.66017956691494,229.701558857997,7.017602446953534,7.2424966183221064,225.74672609480092
2018-05-22 23:00:00,280.516,82.65386,4.5434637,988.35565,2.9846146,239.71503,6.765438319746696,228.9200306529129,7.108388644039149,7.321637753894277,224.90729686529264
2018-05-22 23:10:30,280.3688,83.02821,4.464257,988.51807,2.9806464,239.00291,6.830495059901345,228.02307565761998,7.156565258496972,7.356439603499261,223.92933009051129
2018-05-22 23:21:00,280.22913,83.3394,4.3812194,988.52014,2.9654243,239.22154,6.838908111214769,227.60505919118805,7.146149163021159,7.332093749158348,223.3655586697057
2018-05-22 23:30:00,280.13367,83.53977,4.322222,988.58923,2.9445212,239.66078,6.81655532658772,227.2447362705587,7.1083657696087315,7.283322059612492,222.8811107170028
2018-05-22 23:40:30,280.02908,83.71786,4.2504497,988.75635,2.9371748,239.64552,6.802850309037689,226.63364459934903,7.079829397534688,7.244426020272566,222.16824271350788
2018-05-22 23:51:00,279.9238,83.9519,4.187303,988.7955,2.935154,238.88419,6.800019712550796,225.67872709622716,7.065395630486044,7.222425380844513,221.13444699684197
