times,T2,R2,TD2,PSFC,wspd10,wdir10,wspd67,wdir65,wspd88,wspd108,wdir106
2018-09-22 18:00:00,302.11163,65.89414,21.762701,974.74744,6.3933177,355.50986,7.5434694083884235,355.460647705517,7.769924373083396,7.9856392548309865,355.2708987596483
2018-09-22 18:10:30,301.95312,63.258976,20.966326,974.5925,6.9336195,355.36447,8.45771314705141,354.96204220843873,8.622461567587473,8.774380263339776,354.82156584600506
2018-09-22 18:21:00,302.02167,62.333893,20.797104,975.1795,6.9563956,354.14774,8.564083800154314,353.7822724046234,8.724128765585936,8.872129258303872,353.6177221188927
2018-09-22 18:30:00,302.0705,61.789062,20.703697,975.1295,6.9623117,353.09064,8.54835546155364,352.58674772373996,8.699437605594685,8.839063332277306,352.43316678912225
2018-09-22 18:40:30,302.03372,61.75871,20.661623,974.8225,6.9892974,351.75714,8.568570919288575,351.4357346552125,8.715960538267275,8.85198615874561,351.29780170803696
2018-09-22 18:51:00,302.04956,61.563633,20.626354,974.8382,6.92451,351.3115,8.515827812556687,351.15885577133076,8.664423627952235,8.801397934451664,350.9968458838759
2018-09-22 19:00:00,302.12973,61.20336,20.60821,974.9443,6.835027,351.31763,8.456521313918985,351.18414947741473,8.606590158180376,8.744972149072009,351.021935994708
2018-09-22 19:10:30,302.03415,61.330273,20.551853,974.06525,6.951474,350.84344,8.697200952152237,350.3967052862241,8.859717079908986,9.009544880959591,350.2579847051303
2018-09-22 19:21:00,301.96033,61.50573,20.528215,973.725,7.1325645,349.9857,8.984924914818981,349.77427250620934,9.16735679095781,9.33541184568293,349.60964609596664
2018-09-22 19:30:00,302.0091,61.42308,20.552372,973.7301,7.045832,349.4222,8.946195867790626,348.73409298906455,9.141180717719887,9.320854853045661,348.5672575870314
2018-09-22 19:40:30,301.88394,61.88793,20.554852,973.07,6.736044,348.07178,8.564886820367738,347.8343047360119,8.769821250406586,8.95866213772296,347.6681321617808
2018-09-22 19:51:00,301.7338,62.52036,20.575521,972.8692,6.502996,347.1146,8.430713424250275,346.5724344662223,8.637069696823719,8.827129578572862,346.5358661170372
2018-09-22 20:00:00,301.54614,63.48242,20.641806,973.2336,6.6800365,342.49408,8.763084254525008,341.4571795088659,8.991003717030615,9.20018902191793,341.66420740850174
2018-09-22 20:10:30,300.29965,69.7859,20.96968,973.3127,6.477095,337.26328,8.684536698366722,337.5846207655306,8.95386400705984,9.200632976285899,338.0490876139478
2018-09-22 20:21:00,299.1018,75.40091,21.060759,973.2078,6.2209325,336.96216,8.776289179086096,338.2638136635699,9.077819325397755,9.356333510000576,338.8984976225051
2018-09-22 20:30:00,298.747,77.29871,21.116722,973.22906,5.9870815,342.4654,8.650092010718199,343.6541973891989,9.01057364430423,9.34704566970242,344.23932805015045
2018-09-22 20:40:30,298.5461,78.574615,21.184376,972.7914,4.8637247,344.15366,7.80206282993853,345.469849762934,8.232329443017532,8.63841717326534,346.1445710483852
2018-09-22 20:51:00,298.4276,79.96229,21.34886,972.97437,3.554275,346.8549,6.954479544305253,348.6406795235794,7.458180058768507,7.9363481823955455,349.0532599143949
2018-09-22 21:00:00,298.54788,80.181465,21.507551,973.0989,3.0078325,350.98505,6.7612174462492325,351.9548255274623,7.316168748819491,7.843954172253913,351.8636622173189
2018-09-22 21:10:30,298.00317,82.33233,21.405495,972.5443,3.1329103,0.19575185,7.581523944204802,357.4971599559118,8.14353564285435,8.678911447824172,356.43492426913883
2018-09-22 21:21:00,297.1387,84.811775,21.044191,972.3857,3.1475797,5.7715325,7.935011751037415,13.206603474581248,8.477226899104036,8.993459666720575,358.8490793399405
2018-09-22 21:30:00,297.09863,84.92314,21.026371,972.47845,3.2397432,9.350591,8.049335533657803,2.6336863901649035,8.548044195955848,9.022464103650117,2.5173697507306807
2018-09-22 21:40:30,296.51364,85.73835,20.612886,971.99774,3.6102705,10.657294,8.507094830908038,3.672327595409749,8.959686267570234,9.388078984713479,3.3665136950138486
2018-09-22 21:51:00,296.72626,85.10445,20.700771,971.8574,4.2768645,10.79988,9.14036197628577,4.638534158916343,9.587485480507427,10.006093617431919,2.3014526234521635
2018-09-22 22:00:00,296.74396,85.03993,20.705929,972.1725,4.656102,9.774385,9.566064878566532,4.371824102544986,10.068130274115001,10.533911886798165,2.1730592112712017
2018-09-22 22:10:30,296.55795,85.78202,20.663847,972.47534,4.628747,7.1300006,9.66479677228337,3.1266731695571037,10.259758723777145,10.808697780555166,1.2630532524175468
2018-09-22 22:21:00,296.36108,86.5678,20.617796,972.5926,4.5066,6.541805,9.635209876283188,2.7297284939236186,10.310734373682164,10.932870492270233,1.2006806778290182
2018-09-22 22:30:00,296.16434,87.35391,20.570454,973.0196,4.1984735,5.7256713,9.370629678196035,2.0389215377132803,10.102475728127898,10.776120451731222,0.9366943626454659
2018-09-22 22:40:30,295.9906,88.03173,20.524382,973.11975,4.0714498,5.2530622,9.393519965301039,2.082098612897971,10.176889797106547,10.896777417366842,1.4736553799334433
2018-09-22 22:51:00,295.9195,88.27778,20.49957,973.09406,4.1127405,6.75414,9.547867833294912,3.593977675889888,10.3731455259126,11.129267035268091,3.244483355488408
2018-09-22 23:00:00,295.81934,88.611496,20.462137,973.32086,3.9530966,9.777773,9.521989790531673,5.875612000536222,10.363611563084534,11.132818600275064,5.546019541351369
2018-09-22 23:10:30,295.71286,88.85049,20.401445,973.45416,3.7957268,10.070101,9.547846911680663,6.5771335210956705,10.379697782335784,11.138841826404544,6.495539701510958
2018-09-22 23:21:00,295.72046,88.74176,20.389389,973.04846,3.9953268,9.259611,9.80526768370635,7.001925580400984,10.60901157113759,11.342726322314109,7.06997500079364
2018-09-22 23:30:00,295.67773,88.80017,20.358343,973.063,3.932759,10.280688,9.72596049222046,8.18052705532388,10.510297176949493,11.227339633555973,8.194722890696244
2018-09-22 23:40:30,295.53522,89.06328,20.26676,973.0151,3.7320411,13.569107,9.478165220588894,10.548265651574782,10.242997069428345,10.943579335795217,10.344271874089786
2018-09-22 23:51:00,295.494,89.09783,20.232847,972.9052,3.855419,15.17111,9.519036645408267,11.949942401475363,10.286791328551335,10.990368480380086,11.700072803712866
2018-09-23 00:00:00,295.5496,88.9652,20.26331,972.94666,4.1370506,14.887188,9.703629726684126,12.636510399177704,10.499062944500652,11.227080723778368,12.458229197496003
2018-09-23 00:10:30,295.47864,89.16417,20.229729,973.0835,4.0687633,13.338873,9.62912433590866,12.621992127167815,10.474030564716436,11.245296748098347,12.60810089928544
2018-09-23 00:21:00,295.51288,89.05832,20.2442,972.9913,4.4422894,12.794009,10.151192605857347,13.335255702414285,11.047368106725077,11.862816394352304,13.205312845391786
2018-09-23 00:30:00,295.53665,88.95842,20.249544,972.90826,4.666287,13.449528,10.456079783262762,14.23220841515566,11.418005548457788,12.291257520654105,13.925994061177281
2018-09-23 00:40:30,295.41632,89.31484,20.195929,973.3239,4.2597423,13.322639,10.318128165841049,14.552252676411952,11.338298288623246,12.263355130761163,14.008478532806999
2018-09-23 00:51:00,295.38263,89.27448,20.15609,973.2846,4.3088565,12.690995,10.701134986833333,14.092975014532483,11.726823280492296,12.656757498139273,13.228637981702184
2018-09-23 01:00:00,295.3875,89.11178,20.132002,972.9854,4.447745,9.753327,11.033956962674964,11.997228256655674,12.058318203301637,12.98804725669506,11.13653047081692
2018-09-23 01:10:30,295.32498,89.067894,20.063517,972.82623,4.3576593,7.171148,11.175684977323433,10.290675394479347,12.190580064302281,13.11352527856635,9.363035665487784
2018-09-23 01:21:00,295.20984,89.18232,19.971945,972.6803,4.0878806,9.937949,11.075262379789372,10.971403354049098,12.06886490086514,12.974343742612687,9.63769854558814
2018-09-23 01:30:00,295.0344,89.47098,19.852465,972.7092,3.7259622,11.095889,10.802860789469074,10.778151228640354,11.775331412848175,12.663708865898123,9.2826168797803
2018-09-23 01:40:30,294.94965,89.50617,19.776356,972.7857,3.6836154,10.907239,10.784791272600351,10.159035873465156,11.713316534815199,12.564451909021702,8.63670307449959
2018-09-23 01:51:00,294.9777,89.28206,19.76417,972.81445,3.8437812,10.304743,10.837503521350227,9.59545685455629,11.725551296342697,12.541955008833298,8.124976918739566
2018-09-23 02:00:00,294.9944,89.106026,19.74934,972.8033,3.9969158,11.151155,10.911824956976156,10.032334021859423,11.770078495603691,12.560592849692355,8.532835474834682
2018-09-23 02:10:30,294.95654,89.06402,19.705204,972.8878,4.032029,10.888247,10.90630075992808,9.833626574023915,11.749004080702257,12.526762740644228,8.478965001822205
2018-09-23 02:21:00,294.9946,88.76777,19.689789,972.9949,4.3331256,9.210967,11.30410167697271,9.139697537036623,12.14126170765201,12.915790081468467,7.971446589707007
2018-09-23 02:30:00,295.06512,88.30085,19.675348,973.14905,4.639027,8.41958,11.645408382528188,8.554277286486206,12.484419652187531,13.262846294820804,7.4360758510368035
2018-09-23 02:40:30,295.06183,88.08035,19.632887,973.2825,4.678587,6.65187,11.722323374512067,7.250392162735446,12.566393085961991,13.352518315215598,6.114126296353604
2018-09-23 02:51:00,295.01154,88.05873,19.58028,973.3884,4.6348457,5.1644363,11.80325618222753,5.7712096495174565,12.656254116899689,13.4526080512176,4.475300906957391
2018-09-23 03:00:00,295.06644,87.623604,19.555655,973.20544,5.1078687,4.7142863,12.40415359471468,4.843834227151186,13.263520436046804,14.06592239406162,5.249093480346396
2018-09-23 03:10:30,295.12228,87.1359,19.522045,972.9107,5.625564,4.042964,12.960164292211017,3.426838465311758,13.847991681610626,14.676988324311939,3.640949444495411
2018-09-23 03:21:00,295.07626,87.08953,19.46907,972.7399,5.5907993,3.8824944,12.937010340125092,2.5941541463259292,13.851218121964074,14.706616001765234,2.5653719236763166
2018-09-23 03:30:00,295.0194,87.14035,19.423111,972.5535,5.550798,4.6666694,12.874602745375142,14.690480387792055,13.809332928410964,14.686683629109558,359.7959421634486
2018-09-23 03:40:30,294.91003,87.39544,19.362984,972.4942,5.343736,4.3412447,12.639646241926418,13.770841414636784,13.597651039358542,14.501953109671222,358.6634955194477
2018-09-23 03:51:00,294.8041,87.66974,19.309404,972.2374,5.216663,3.3042116,12.426154091888337,359.38076073482847,13.420431514220528,14.364680581625024,356.899986442245
2018-09-23 04:00:00,294.62854,88.266914,19.24553,972.09906,4.627815,359.75763,11.735092663240351,356.79515625026534,12.743525475899462,13.706624899819033,354.35957600535255
2018-09-23 04:10:30,294.3237,89.306305,19.13299,972.12103,3.8277645,356.03134,10.799134026715869,353.62828049606907,11.812256550001589,12.782600105500357,351.5212173314578
2018-09-23 04:21:00,294.13257,89.49073,18.979662,972.72943,3.2832553,341.48608,10.056280246910902,345.78866131068264,11.073664032272806,12.04819289908672,344.9112175022038
2018-09-23 04:30:00,294.15408,89.3285,18.972212,972.89484,2.9975133,331.01904,9.264898592754253,340.3267213409916,10.257092541825749,11.207360537158031,340.05686331742254
