,lat,lon
0,-30.847037343247145,-55.73664772597366
1,-30.85747533191794,-55.68136510684949
2,-30.790008823154775,-55.70578023513183
3,-30.850454669555514,-55.732733686139404
4,-30.846907094455272,-55.72978961332977
5,-30.84500399807273,-55.722515827308314
6,-30.841981064778075,-55.7381151573779
7,-30.83823349873538,-55.730395316297304
8,-30.83302821203854,-55.72678349503188
9,-30.828685473199172,-55.743108903377866
10,-30.82607794066909,-55.73938960294128
11,-30.81811291752742,-55.742358034863116
12,-30.816594310546257,-55.752329823921634
13,-30.827691734608557,-55.72635209422892
14,-30.835961727111382,-55.71321492467916
15,-30.833000868822552,-55.71124697422988
16,-30.823820052969346,-55.71618914427732
17,-30.821752234892994,-55.715108503275175
18,-30.863608195027986,-55.711601179772764
19,-30.860553809230034,-55.71020921580873
20,-30.856606308017362,-55.71790689784698
21,-30.855185567478728,-55.7093084885367
22,-30.85062337522638,-55.70962056456859
23,-30.84708271384913,-55.70471134033683
24,-30.839205322709926,-55.69832390405164
25,-30.845939182288188,-55.68702323431481
26,-30.84915033233717,-55.688725846188035
27,-30.856638446789052,-55.68868670475982
28,-30.86184981730152,-55.69012181075919
29,-30.84639435207322,-55.67766857772897
30,-30.8422686966591,-55.67831072580265
31,-30.835481627245862,-55.682512841076246
32,-30.825682493731954,-55.695798631862345
33,-30.831538524680123,-55.68070566506395
34,-30.825721322202256,-55.680921131111035
35,-30.820647283806167,-55.684126725645406
36,-30.816319192106562,-55.69330131162584
37,-30.806711491904323,-55.684494389334134
38,-30.804416928505184,-55.70571258683554
39,-30.802295468457057,-55.709211137229836
40,-30.79436069945532,-55.711522402881805
41,-30.792629204517276,-55.70978971024102
42,-30.786636658852743,-55.71143730230408
43,-30.813314139698154,-55.72677182066928
44,-30.816636546043,-55.728829195914386
45,-30.808462717537417,-55.739964615557405
46,-30.79958296459683,-55.7360878488979
47,-30.79283904068497,-55.73751384327829
