data,hora,erro,hPa,tp,ur,vs_med,vs_max,vs_min,vs_dev,ds_med,ds_dev,vi_med,vi_max,vi_min,vi_dev,di_med,di_dev,vm_med,vm_max,vm_min,vm_dev
2018-05-23 00:00:00,0,0,977,11.4,59.3,4.62,4.93,4.33,0.12,195,1,4.46,4.94,3.98,0.16,193,2,4.42,4.79,4.15,0.11
2018-05-23 00:10:00,1000,0,977,11.3,59.5,4.32,5.16,3.46,0.35,189,4,4.57,5.59,3.56,0.39,190,3,4.26,5.2,3.41,0.32
2018-05-23 00:20:00,2000,0,977,11.3,59.9,4.28,4.93,3.37,0.32,193,4,4.43,5.5,2.82,0.45,192,3,4.27,5.11,3.28,0.35
2018-05-23 00:30:00,3000,0,977,11.2,60.2,4.14,5.02,3.05,0.38,192,5,4.09,4.99,3.19,0.37,192,3,4.02,5.02,3.09,0.41
2018-05-23 00:40:00,4000,0,977,11.2,59.6,3.98,4.93,3.09,0.34,191,4,4.13,5.08,3.15,0.41,191,4,3.93,4.97,3,0.36
2018-05-23 00:50:00,5000,0,977,11.1,59.7,3.54,4.24,2.26,0.36,194,4,3.57,4.34,2.59,0.46,192,4,3.47,4.06,2.26,0.43
2018-05-23 01:00:00,10000,0,977,11.1,59.5,3.52,4.2,2.82,0.33,198,3,3.26,4.07,2.22,0.48,197,3,3.26,3.96,2.08,0.55
2018-05-23 01:10:00,11000,0,977,11.1,59.5,2.64,3,2.31,0.17,210,4,2.53,3.15,2.04,0.19,202,2,2.31,2.77,1.94,0.17
2018-05-23 01:20:00,12000,0,977,11,58.7,3.37,3.87,2.63,0.3,206,3,2.4,3.15,1.86,0.23,203,3,2.58,3.41,1.8,0.37
2018-05-23 01:30:00,13000,0,977,11.1,58.2,3.74,3.96,3.46,0.1,201,2,3.46,4.07,2.55,0.39,196,3,3.55,4.1,2.82,0.31
2018-05-23 01:40:00,14000,0,977,11.1,58.2,3.67,3.96,3.41,0.1,199,2,3.45,4.07,2.64,0.33,196,2,3.56,4.15,2.72,0.25
2018-05-23 01:50:00,15000,0,977,11,59.2,3.33,3.78,3,0.18,200,4,2.75,3.65,2.09,0.33,198,4,2.93,3.55,2.36,0.27
