,ev_at108,ed_at106,ev_at88,ev_at67,ed_at65
0,-2.6173767850193936,-23.91541319413463,-2.855142775633353,-2.8474994906312077,-29.255542495057284
1,-2.8670616659249983,-28.698728832648385,-2.971344205834095,-2.7037452765352095,-31.278860255696827
2,-2.866287510106482,-23.409096190295458,-2.9253491531759765,-2.8128372267180017,-28.29001635919738
3,-2.9721920240534416,-23.213297217386156,-3.1442660717871718,-3.122395611211486,-27.378186281263083
4,-3.1045554963300828,-22.776940860609017,-3.210683625650535,-3.0572932954618555,-27.27245790897061
5,-3.507376306549318,-18.43741149303088,-3.640002517203611,-3.590354950737059,-25.227528029976725
6,-3.5050287859334825,-13.278429391296385,-3.835225837998707,-3.8939077801352857,-19.23650575166701
7,-4.357425961813858,-0.10998543176131648,-4.767232132635186,-4.630084247906414,-13.13847557171627
8,-3.569022347397607,-3.1391021435166806,-4.447320734107502,-4.747020328071912,-11.102456611653366
9,-3.1373081249181887,-7.419895159324938,-3.4266983309762047,-3.660503021826335,-17.275832655347443
10,-3.120672171491697,-8.645821527226104,-3.3480740323226788,-3.6327698406417177,-16.309637056580613
11,-3.3744037760452237,-6.855602000724446,-3.9117763451816727,-4.302059313797669,-13.225223095327607
12,-3.601230369845372,-14.496205582541705,-3.849196424238661,-3.971405649822925,-19.1018343202567
13,-3.8691903750651733,-8.774689190395009,-4.138253190413289,-4.48282434044545,-11.157133877402941
14,-3.6520138620934333,-3.184463121008463,-4.2377949952713365,-4.621706990741964,-6.350192423411329
15,-4.16640664588182,-1.86690986798709,-4.841349134618117,-4.864899198940588,-8.523594600948115
16,-4.0502580950401175,-0.015271873112993717,-4.622660441506481,-4.625602273222818,-2.278813724756162
17,-4.109814846858036,11.374819388336249,-4.245324893532883,-4.290998403395663,7.400162869298981
18,-4.473774735196908,20.751916399614913,-4.4004809269564635,-4.233974390855478,20.798776475216556
19,-4.582210003886127,20.12011701979992,-4.535626270010962,-4.325374340336863,19.148624784272812
20,-4.025668689720276,13.566080632979094,-4.31409500294173,-4.402702605723678,14.544511172421522
21,-3.5241422892252126,14.054570443650107,-3.736849098213526,-3.9696541106760046,11.999984019166646
22,-3.561352661587485,9.84352188106351,-3.801842988668062,-3.8203429183153608,9.66391594362625
23,-3.412513402329142,3.8716318192717267,-4.143326220647782,-4.396720939504987,1.5469050598214835
24,-2.8451902456947558,-2.055416555114874,-3.3661080508599723,-3.631070747177513,-3.367292741816641
25,-3.0415427674543305,-8.648847356687213,-3.551856872070307,-3.529934300243548,-9.928302143391846
26,-3.1313887107522107,-1.2260857438401729,-3.6616382016208315,-3.96589371928271,-2.4920400592048395
27,-2.7903812518069966,4.985745070294769,-3.7012150350856428,-4.154249682116088,6.755711335944284
28,-3.3073189374335348,6.342377036047139,-4.018858376499763,-4.341373167317731,5.194960625783381
29,-3.0319056897451535,0.5457894923015942,-3.4944160651531875,-3.949311792399113,3.5148304600074027
30,-2.6926745380764365,0.42749976486805963,-3.0058779244639378,-3.2527226728022733,0.5324208187257113
31,-2.8138839670453764,2.292912542150276,-2.957422102736626,-2.906870906070673,0.5949226945032535
32,-2.6310547203158285,8.035584690431989,-2.8841225856348336,-3.1448663811965822,4.561813073881581
33,-2.594770554257678,12.612779427390166,-3.3173948455766054,-3.5703404294370253,8.327399205156667
