,ev_at108,ed_at106,ev_at88,ev_at67,ed_at65
0,-2.5010535377348635,-25.608739113330472,-2.6495819980634883,-2.4910879478919625,-30.916234234763294
1,-2.744438023981334,-30.55529050744977,-2.758520267160609,-2.3391273439723577,-32.97627531012844
2,-2.730343284697069,-25.44050514387402,-2.6993213609040625,-2.437795628565941,-29.99229429862399
3,-2.8211436805477073,-25.390591328964547,-2.9042676159862175,-2.738747994282745,-29.062258910677116
4,-2.9346557276140373,-25.109080562326312,-2.9539763003860844,-2.667124885291746,-28.907227287547187
5,-3.3250025039076254,-20.931625243960752,-3.372395961793637,-3.1961753424218524,-26.839857940877124
6,-3.3174640568727276,-15.874939979734307,-3.5627405926185745,-3.4966422194410445,-20.829439704974902
7,-4.1839118403256474,-2.744598608289465,-4.509054867155234,-4.235499878143656,-14.725410609547907
8,-3.432599627128277,-5.6719491946664675,-4.2279133266851,-4.3672798676102715,-12.635967525738295
9,-3.030056463960081,-9.801458117456889,-3.233828438903531,-3.2939099475334634,-18.721994773981123
10,-3.04686675051596,-10.840366873375473,-3.1811404691558045,-3.2754397562484296,-17.679428129142423
11,-3.336105329185423,-8.834314312029079,-3.7702952946660804,-3.9485987895202825,-14.552099922479698
12,-3.551384385786387,-16.030430631151006,-3.714115052275347,-3.6652342967543357,-20.631496580918878
13,-3.7974870690072144,-10.201846666426405,-4.008966308241526,-4.243872169626603,-12.680508806693183
14,-3.600884866535133,-4.521429111320089,-4.119627405997659,-4.376768858479433,-7.904683260203711
15,-4.112578863996774,-3.0158875898310384,-4.716212323454046,-4.612081782341267,-10.344726696659393
16,-3.95692937342453,-0.4704066493960113,-4.505046945391946,-4.459773558143875,-4.761058149615849
17,-4.026969327856799,10.973196917605549,-4.158005823745387,-4.178909654952504,4.680756720092177
18,-4.394025149386407,20.258040706049684,-4.316532176497724,-4.121164700886659,17.946179604349254
19,-4.4902226802685306,19.519099319675718,-4.433517018293916,-4.190443794532125,16.1311296809219
20,-3.907475578734207,12.757960253775508,-4.181670193513858,-4.24080277820511,11.271427265168143
21,-3.3753280244737467,12.992173466746664,-3.570565127920022,-3.7816899503632024,8.410431619918512
22,-3.3775853965760283,8.356975302946694,-3.5944696744316875,-3.5984372485365315,5.654562199556835
23,-3.2018369972993614,1.8766380589954395,-3.900075395623351,-4.136583204773222,-2.9259500860612775
24,-2.6051588662483693,-4.422290568990519,-3.094206784698884,-3.352439240075171,-8.29953492189614
25,-2.779189723624888,-11.425786326734084,-3.257502239013356,-3.2355555462603522,-15.367867595183668
26,-2.8540666266059493,-4.393146825257048,-3.3502830749441244,-3.6561577097801026,-8.392443417416104
27,-2.5079196399531245,1.5777265833711738,-3.3811534716701925,-3.8339717841433916,0.5448732955056812
28,-3.023547008567437,2.7560567471686284,-3.6929606636088717,-4.011872139809558,-1.2897545461764537
29,-2.7524786713807003,-3.138961129870296,-3.1672203585507686,-3.6111945826609735,-3.1460243527137095
30,-2.4179650634026335,-3.282433243956632,-2.678041598335606,-2.9068735424822614,-6.236509500546532
31,-2.5500826979678464,-1.377030236572807,-2.6345381675964776,-2.5573378701050533,-6.2401464184193
32,-2.3825138399528565,4.491509111189117,-2.570526723146102,-2.7950989284687875,-2.2604653533840917
33,-2.364523908808645,9.229121082333535,-3.0165231728030184,-3.223197282338824,1.6026806455708993
34,-2.6361799505603707,11.965225809693095,-3.2213231476287683,-3.2593411110185624,7.488993656176689
35,-2.5484746296106655,20.630612914196803,-2.6967064416103286,-3.0654840801716507,15.280092613780624
36,-2.5321152716665756,22.178521196383883,-2.684482952675102,-2.7253481736495866,19.91351107484249
37,-2.343890236375263,10.756802409740402,-2.899950671343863,-3.1523273363577995,9.558859106828947
38,-1.9112415532807367,5.379532916505582,-2.3405436342020622,-2.573728718759309,7.2067472789370015
39,-1.7524511124929965,-9.067394392471073,-1.9769540126136467,-1.8142317315780527,-11.245794793023606
40,-1.531253795989583,-13.39649431605892,-1.7599391308876702,-1.779876299224933,-19.615045863803317
41,-1.4690426865518087,-20.593434101504187,-1.512012578932584,-1.524918497269848,-27.876506657987164
42,-1.762619337835131,-21.859400151234894,-1.7006511950064191,-1.6978424639011438,-28.217150253129034
43,-2.4642444223913937,-13.095999851607331,-2.447063821924651,-2.268775620407712,-18.586242998478838
44,-2.460903886807118,-7.4902715899149825,-2.4390880804208233,-2.316492032232573,-14.129534886357163
45,-2.1619175573521385,-9.098396675287347,-2.146672514463882,-1.9209731583586072,-10.876729349528006
46,-1.8984505877486746,-11.775907735609081,-1.9702827530512916,-2.1530291047611976,-7.728592735971489
47,-1.9872451202643862,-18.543111558358078,-2.206298439343881,-2.157261350069653,-21.646211147612064
48,-2.080974891694448,-28.382995660690625,-2.057926614181037,-2.058102077168815,-26.60549266675443
49,-2.288952309344773,-35.19271523563168,-2.403398338773471,-2.4121830796075194,-32.54764394244853
50,-2.6030915364609046,-42.84658056811901,-2.7147449663750285,-2.851918379084075,-46.3248855864
51,-2.6868138337628267,-42.436596256452106,-2.7658937616657617,-2.891222174776824,-50.018881132017896
52,-2.8311642836796214,-35.04027516027179,-2.867820398395433,-2.8816505502232648,-41.74846368615346
53,-2.4308768881364364,-27.65946594403053,-2.555332697597796,-2.6480324322676085,-37.47379739851792
54,-2.476553792132307,-30.315830025535803,-2.6395265206678533,-2.500880257401344,-45.21137216292709
55,-2.058539437134144,-42.99387190172814,-2.160749250338215,-2.1024115339199057,-53.964844286836126
56,-1.7580179147436183,-32.73103269919815,-1.9402274488317581,-1.9222281791598035,-44.77039778404918
57,-1.7867568665922926,-30.48253357053352,-1.9994663801690704,-1.952501295209807,-40.57121092626443
58,-1.676209964230582,-29.09972980348408,-1.6495199143856638,-1.6431254400878492,-40.24275620494862
59,-1.4662824512297146,-25.72197429025144,-1.3605331059453447,-1.2351431677217168,-35.935823325192445
60,-0.0524326250096907,-23.026020790029293,-0.11711857946289772,-0.07191206078258006,-28.30784165254559
61,0.16317813177859364,-18.227303449907197,0.09756966835813952,-0.01775321704066002,-25.573336764358743
62,-0.14158822658192438,-19.546902009517623,-0.268902095137741,-0.16603781889953417,-23.981738285818523
63,-0.3679266311840732,-22.015332306061254,-0.40705642357990834,-0.46643363466481347,-29.546486994134114
64,-0.1151144636681325,-26.32711358051074,-0.166114803562194,-0.0376149074161809,-31.970024666567696
65,-0.7185455571781363,-28.58286935365436,-0.5717333783685095,-0.535984021593209,-38.3687623541953
66,-1.5801252449853398,-33.93062700042128,-1.4550750665443686,-1.4313782498366079,-37.860963563690035
67,-2.253437427108585,-32.15454704610099,-2.269604572779924,-2.0970161880109495,-53.29933029192097
68,-0.8952986227015698,-31.47456705056598,-0.8723099408408088,-0.8604116406960824,-34.89646149987945
69,-0.7867132817921698,-44.76285533145199,-0.7622907460517987,-0.6774461752702816,-53.476799159983585
70,-1.0460929509455381,-65.1797273098856,-1.0185111907047482,-1.0873593746000085,-69.31851806998156
71,-1.057357803735087,-58.65988107343307,-1.023893899570834,-0.9020655584875361,-67.27373645733863
72,-1.3517978257072858,-76.12871754301281,-1.1503948716620287,-1.0247544108183324,-91.22192089004392
73,-1.0896086202067323,-76.37710042619344,-0.9945160544346914,-0.775837219542431,-77.0631947321449
74,-0.8132665952766067,-52.821422907271426,-0.4670684263062328,-0.3272851712542386,-73.72043688447414
75,-0.8870203340970826,-40.24911720931746,-0.742315845048912,-0.5660968295512168,-49.60746436270972
76,-0.6279979999654572,-45.75941602264837,-0.5253997975086515,-0.4791630891440506,-54.646172303249045
77,-0.6957793041030552,-60.80859551826495,-0.6093089849145295,-0.5883096750410305,-67.8890621786461
78,-0.7340040818639697,-119.35214189711289,-0.7312594543338273,-0.74303255179577,-145.1210816495765
79,-0.08416381453642563,-38.330436712540234,-0.07350303408712411,-0.06674512945858635,-32.906431374448175
80,0.46820053922889215,-61.76242468100344,0.46027384339262367,0.4777318746560244,-62.11386916607623
81,-0.0758161997282838,-91.12774673463232,0.1407097145401468,0.09238368588314638,-78.32003126042758
82,-0.15644561959715964,-22.88692007523815,-0.2635365890983664,-0.1660147776670573,-26.866027643306097
83,0.4612053408999853,-67.15808474451222,0.4921127226894515,0.4870783126806073,-56.934528520655846
84,-0.08196045280241504,-32.11515149700743,0.1574571822352635,0.260687101982932,-10.796178576660552
85,-0.025608540942052116,-46.4917207382572,0.022531911581955555,0.1946051261308942,-78.01711084551741
86,0.47857444266715676,-98.34756876540622,0.4347373189905299,0.3345512067813209,-114.62968297438186
87,0.5107464989637849,-67.348364291436,0.5448898300647105,0.682312825263976,-69.44485013964012
88,0.8420985527855153,137.40418923898164,1.0126299423237963,0.9157981694524678,128.51695977902477
89,1.6133317557070765,141.4039704029334,1.8103295476986216,1.619437324687258,145.50626216451786
90,1.4633807911579786,151.67459170717206,1.6479351891853284,1.6845028567587632,144.32659695608243
91,1.5031192725862108,199.8011437649685,1.4854201544444763,1.3993759308619156,195.74954531105146
92,1.8440326942436034,206.93993694163706,1.8148355724524154,1.6670856570431636,213.51576744706222
93,1.3673190338067274,168.35532365455452,1.2887796690520807,1.2519429411311036,175.1496419174652
94,1.210762820042666,208.8714326293225,1.225780049685678,1.0225742592395752,185.49177915227088
95,1.2477793619245514,171.01201482399284,1.1578127555827469,1.069966773140771,162.15248491259013
96,1.2609477598639907,221.6452292774,1.3262658426426057,1.274240462696141,202.38096759598415
97,1.1415810372396806,256.4578538743852,1.1347328381195823,1.021379669232897,240.65943323377593
98,1.0108015110211606,-113.84277924405444,1.1313390072393195,1.1060871874913163,196.6117613768554
99,0.41553366096395417,-118.31368809899169,0.5711265581887633,0.6616494703467153,-140.5837633607785
100,1.2121190277655847,-121.3350406759231,1.241665344107905,1.2167802775994763,-125.93441889364914
101,1.2349424446403867,-111.28311046013704,1.2479780093915631,1.1968468876596137,-113.16676761456137
102,0.43108325456244,-127.82850414248105,0.49673531723397907,0.538492142492944,-122.1181531170717
103,0.42238637324099726,-156.7202535613098,0.5406989611624025,0.6054419916385227,-167.2117375367297
104,-0.2072480699617688,-160.12691862591834,-0.04789189189342935,0.1081578143840417,-180.11616793865954
105,-0.33690748157934497,-209.8808803734799,-0.10586769235822213,0.02226338603143796,-203.41091392141317
106,-0.14492614943092585,-187.1666829108812,-0.04359509110772053,0.09522566360926055,-186.51482137405714
107,-0.6533384781160765,-143.3772309593561,-0.5621008995606586,-0.5735159520236731,-150.47598724552182
108,-0.8828181227469696,-104.7265825420215,-0.8613485805625021,-0.8122186194407449,-133.60919138925448
109,-0.7751014952323828,-170.423522459536,-0.7354617795673413,-0.6386752543710237,-182.90471984584724
110,-0.4399175356666224,-191.64064717091037,-0.2827371366455409,-0.1187708125574456,-193.78087637830504
111,1.3919337117435162,-169.8193452106163,1.7079523209334369,1.860816086277026,-170.79498449188617
112,2.0744898255864146,-174.48079461541363,2.387984658510982,2.5275162183978823,-169.32217656425087
113,2.386090535851333,-169.33399415990664,2.7473762596274813,2.8845049606821016,-165.07705445290782
114,2.251501500395409,-167.65668066180814,2.571726615043287,2.7876928633347218,-164.31675007172117
115,2.763747828843837,-160.9810821598632,3.0216325561311193,3.1748214430843786,-161.5822231320533
116,2.9479559506300754,-172.01486080036813,3.0640074477449177,3.14478091288348,-178.5179303875217
117,2.8085364767472747,-172.22825318638235,2.863978787424119,2.9442302606431903,-178.70953079974703
118,2.6631857817302658,-172.6083273708672,2.979026396823127,3.1005015045297633,-173.12535983445275
119,2.8326964200902456,-168.16942179928844,3.1789476324928594,3.330388757332053,-168.65410725052106
120,2.8769194696268396,-163.0022356081086,3.10533707700887,3.190236414018411,-163.42047233625942
121,2.8593672851116674,-154.48151230830524,3.063341282932556,2.997689113389245,-155.47291200367204
122,2.605056373996185,-144.49747427788316,2.795452812008982,2.889184248108628,-143.805431762334
123,2.4916295565175,-136.43469927653047,2.705933433139906,2.8741479695156036,-133.1705065244788
124,2.259946768740904,-130.186020321456,2.516516741286745,2.64673607839679,-127.32266706773038
125,2.0542321558562766,-120.1069729792643,2.2916561177308123,2.4630526062934726,-115.74198666409919
126,2.258257362455292,-115.45198793335729,2.375880313984424,2.5077643090798354,-113.89654486709236
127,1.8508167808991267,-109.06037518590625,1.9177756967182304,2.090270064314446,-108.56657300655587
