,ev_at108,ed_at106,ev_at88,ev_at67,ed_at65
0,-4.587244697896589,332.4395192649348,-5.293583236154113,-5.843552489147836,334.3260799055807
1,-4.71780851334265,329.5438017483608,-5.774072138669622,-6.782078482524769,327.66082753715597
2,-4.775960901537914,327.05759353414277,-5.8293002518268136,-7.122584656624571,326.22345109122125
3,-4.600797030313123,325.0513870789092,-5.791759195472732,-7.040346780431204,326.13513973034685
4,-3.8162899642606636,325.04861356161604,-5.187770383426226,-6.563073986077297,325.9776594124661
5,-5.244237658922097,323.1462205299095,-6.32628777768139,-7.597677521782234,324.9783660024351
6,-6.702509674577971,321.00310240138504,-8.064988164411558,-9.272361384806358,320.8447116755955
7,-7.974322424346163,317.7310021523754,-9.555018347258796,-11.14663755237028,313.7019282297876
8,-9.432881739617942,313.3323391728945,-10.72584607648211,-11.818611286676477,305.4789798472774
9,-9.36390046044821,308.1053777895389,-10.455119610096517,-11.540818122063826,300.3127739985444
10,-9.938662714401653,309.1836687913276,-11.15718527860384,-12.535498317956105,302.20654500322206
11,-12.560684973469364,304.70034838257914,-13.86102320857107,-15.075035306961485,290.2651977972699
12,-13.362439592919593,308.7752999885128,-15.302658712714049,-16.95858689152064,294.83879954640486
13,-15.073439038143924,-97.77005444014219,-15.885516232752568,-16.56570091520232,198.08855054930072
14,-1.3744674775061014,-199.68682025724524,-2.5796882017912104,-4.024981171768392,141.76334085798362
15,-3.2880375761328313,-189.29713644710233,-4.689862691391253,-6.039024313450886,152.1073673331164
16,-3.7872389835329727,-185.79859817252196,-5.324626135027559,-6.613368928317108,155.91041233402956
17,-5.937127071912133,-187.7619513882231,-7.340914010141812,-8.830789749229108,156.1585984462663
18,-7.432674960316907,-193.72584453224266,-8.94163623451982,-10.344958297832713,-198.31860711666963
19,-8.336644963305842,-198.45875487501849,-9.499209951064548,-10.734427804423571,-203.6116355859735
20,-8.822739676621678,-209.89008700945885,-9.911900897772389,-11.20438115988973,-216.69641349269818
21,-8.672493118226301,-225.6999780286596,-9.851592191063823,-10.907619617187596,-234.02674730583482
22,-8.171881526047665,-223.25599055877245,-9.157092561829884,-10.288184358150536,-232.1123779298021
23,-6.029427518594488,-220.3359637594492,-6.832305091483054,-7.693678168881124,-228.08227537682802
24,-5.747534738152128,-218.37485488419566,-6.297524418315113,-6.933872390036427,-225.25144059200306
25,-7.125355826014559,-221.1511507186196,-7.5746688941343905,-7.958554797906258,-224.42876523353874
26,-7.871150184904197,-219.05539869276208,-8.369483644935906,-8.861537105131898,-221.82620148946836
27,-8.42214221693894,-223.85330019869292,-8.616084927799326,-8.845885593600787,-226.9119967083933
28,-7.857413716586079,-232.33883755566967,-8.005672656192147,-8.447744982207361,-235.34078046344115
29,-7.812103057706235,-236.53300915881533,-7.915647369920533,-8.003343860434002,-236.92879919563364
30,-7.2141938772422005,-237.94611626449603,-7.50510737534697,-7.941076308222998,-238.5809701081019
31,-6.616831137402137,-228.73592010831084,-6.920711346327948,-7.3509805376814175,-229.25753282380265
32,-5.7938727966600005,-241.30282841563286,-6.466354683008172,-7.411190854248929,-244.25318766669153
33,-9.715250877351586,-239.29602979048423,-10.417600651484712,-11.284404441548165,-239.8937919476212
34,-9.030957627191428,-242.00308167505864,-9.583294029850784,-10.392119457920174,-242.43370710037482
35,-10.913239174465772,-252.8013737868506,-11.672415577381004,-12.293396659562958,-254.19045804840096
36,-10.421875886129389,-253.6221212220558,-11.138713004716712,-11.729864708002818,-255.0857139109196
37,-9.727609617429462,-261.7150780231373,-10.33174642123063,-11.082202299154744,-264.7135238421717
38,-10.758825845437842,-261.6017069569375,-11.42116125557869,-12.290381663379378,-265.37629819528433
39,-9.81577349754822,-260.9055090352302,-10.466262628955231,-11.020469912472253,-264.1934863958864
40,-8.45064462231018,-258.8878531189842,-9.454544996535434,-10.03914522316359,-261.6074370315567
41,-6.738973185370078,-258.74434338526663,-7.936788984485389,-8.717310288832262,-261.8831830679751
42,-6.527275461028834,-261.4229453117238,-7.745681669874585,-8.852549727220612,-263.66991558737135
43,-6.248633688536614,-265.2857463639465,-7.173723233379441,-8.377125716106077,-269.91635311604955
44,-6.052020068507854,-264.31495532862607,-7.329073690144453,-8.48719100271581,-268.46756228797693
45,-5.465106965670431,-264.4956647521886,-6.857902567847447,-7.802416276034441,-268.7837051332502
46,-6.882569368686498,-263.6868887419128,-7.899756866021143,-8.856966598898907,-267.4045981443068
47,-9.118441641823964,-261.8902045163154,-10.221980205792068,-11.214752024168881,-264.99251064177287
48,-12.092824068922237,-245.25076479185867,-12.59667746614709,-13.024094977613908,-244.07610335780294
49,-12.205186958586443,-182.85509397279367,-12.448914787471207,-12.692321381353981,-180.65614741013366
50,-9.796631880974159,-184.39974233644784,-9.986279237611779,-10.206980609513788,-184.10165216908837
51,-1.5640970279277013,-218.18898045784374,-1.792675633841057,-2.0562330134475566,-219.6041617284792
52,-5.302651776815232,-224.61644287337123,-6.273071761968129,-7.64148689232265,-227.76932910210752
53,-10.466120225861449,-250.35306087517483,-11.101183570427237,-11.748356969134631,-259.72072635153575
54,-9.738246089436869,-215.46651231321607,-10.037703941529603,-10.78892915813715,-220.31085302305246
55,-11.15312523999281,-158.54725409020745,-11.642512359677486,-12.18080106791865,-158.12325359634048
56,-8.226754473964105,-232.69626557403433,-9.019064301991845,-9.746054686544728,-236.69224934106535
57,-10.277301078992814,-242.45382740460684,-11.072494765740181,-11.732086396314612,-245.3516749493367
58,-5.572901449640522,-257.0218860228422,-7.010871885852946,-8.617887933986522,-261.44911304866287
59,-4.147817149127842,-257.6781951870801,-5.01141646846461,-6.13972506083509,-262.58130117546995
60,-6.5065174618158075,-260.3805325616937,-7.077315362056774,-7.558915972176177,-263.010418064662
61,-6.393546693770174,-265.27600042704063,-6.810323096834246,-7.1355744731778294,-268.8805549806238
62,-5.0725986908571805,-266.8277651696298,-5.298609257687438,-5.497593737125154,-270.60079163735406
63,-5.387281020255891,-267.5049411341421,-5.688925191735024,-6.104128599173887,-271.734996276996
64,-5.173425076517585,-260.56831736887125,-5.508107428204266,-5.822330723022363,-265.42365824869256
65,-5.4625025359795245,-262.01657900819487,-5.93550338921299,-6.418134594133807,-266.2674302448029
66,-5.799148341437682,-265.62041893203235,-6.222178692170601,-6.548624741235809,-272.1372038186158
67,-5.167443778348531,-268.83270150477824,-5.84764356771543,-6.670243280855303,-273.5351110211608
68,-9.02898397753923,-267.31259191772824,-9.715817216766391,-10.238132198490968,-272.4144962597424
69,-8.68447567859021,-269.3096455825512,-9.465389597014703,-10.203817997899552,-273.7669466849111
70,-12.454902627740182,-259.5221903941852,-13.54012354174557,-14.288170769667202,-260.68784206529097
71,-11.135328016478015,-153.75882137900993,-12.15499224786609,-13.124782968894625,-157.1784416785605
72,-12.996541813163763,-204.9202572737538,-14.37900151927013,-15.680691388601451,-210.8428942018341
73,-11.388912007910827,-231.61837756101875,-12.463656022854837,-13.419036551249441,-235.160649305967
74,-6.431211871672602,-226.4239853639823,-7.486377065995649,-9.260375411783421,-232.46097583647781
75,-7.534682258259531,-242.95318151964716,-8.593263200776413,-9.487528257140964,-249.03465499368752
76,-8.944695477598106,-245.7395816251451,-9.864785486261631,-10.702891180348287,-252.179042012009
77,-7.707908862984782,-255.0674254738331,-8.48573440520389,-9.258888214441916,-261.42527499876917
78,-5.365937059365271,-253.31331316596885,-6.140488835778177,-6.849229175373749,-260.3659477045087
79,-7.345729022234927,-250.32552306902363,-8.151426074613909,-8.632363786536146,-257.08480612465235
80,-5.44532517357116,-270.17198693379083,-6.2418331384184285,-7.087908733859001,-278.37079303129576
81,-4.015429368484121,-279.32995211240717,-4.834224828982986,-5.836541950242051,-286.35409294005825
82,-6.6584642698778165,-273.97355696668944,-7.71452396306654,-8.667625508081263,-279.67420843933627
83,-5.744377945484057,-275.77445587098214,-6.7720415174649755,-7.917890939736495,-281.32621816261735
84,-5.209375138330422,-283.5443066481287,-6.047252178073549,-7.071401732075399,-289.8308926589646
85,-5.934119465600887,-279.70863270208685,-6.781040323898477,-7.782169299370199,-284.64902894018843
86,-5.749958361731249,-276.50207831677267,-6.480963182362261,-7.364388685396609,-281.2723012232276
87,-4.950425916345452,-272.17928176277456,-5.781944038887492,-6.652420418426825,-276.91463309467474
88,-3.9874987660054977,-271.85675240028723,-4.705331233707518,-5.5625713479749095,-276.5642628699414
89,-5.774088544090855,-268.3350101648608,-6.27391507734756,-6.8408643990880496,-273.7925141899039
90,-6.82246451243137,-264.50468501005037,-7.705284267268631,-8.382274267246967,-268.76294360355985
91,-6.5924171834417,-263.9807091519182,-7.046155371631798,-7.531313886762371,-268.19589856640295
92,-5.538077387799444,-262.05036909817835,-5.968123313018388,-6.422387015247187,-266.3669237334872
93,-6.3418395864948,-262.96892444290717,-6.756381047634724,-7.343546549022442,-266.395654863289
94,-7.3438509421939155,-262.6070584171327,-7.796438906372066,-8.2284184740886,-266.9924312659015
95,-7.56584067372204,-262.5918709746202,-8.352546110123905,-9.00506182351512,-266.8583834089956
96,-7.8357800210362285,-263.710334182944,-8.575052795782142,-9.32685125596729,-268.14185472437117
97,-8.669512559855647,-264.4932719824901,-9.558814747012429,-10.475092244092906,-269.20526336334274
98,-7.691258575162729,-260.54010932212606,-8.734005775456811,-9.613462804937967,-265.1363948022255
99,-7.915437948909826,-256.97632569441373,-8.781274738491573,-9.586408711265861,-260.6676883766343
100,-6.765764424070447,-256.7878667281354,-7.90261615033125,-9.06762319725368,-261.40310330376116
101,-5.8697016862294475,-254.35806432657995,-7.275750451482679,-8.746747561215338,-260.13249367032523
102,-4.488131258946689,-251.5359813476265,-6.066204843985677,-7.919887573230017,-258.03150228670813
103,-5.301420573192216,-249.59271811631953,-6.811557466726086,-8.35724076904068,-255.01301074989289
104,-4.847561839420054,-249.85213842120464,-6.462646981322987,-8.053612388029531,-254.97991147346187
105,-6.275611134379339,-250.4833949600358,-7.909806970996531,-9.647363736367055,-255.18460483299947
106,-6.949886001596006,-256.2384290251788,-8.212097977089876,-9.595774634389528,-262.80431329291736
107,-6.185124586516697,-261.2969824082262,-7.567781076263559,-9.228328369183702,-269.14009635519005
108,-7.856684920858305,-268.15031838064897,-9.294911575309122,-11.006945752612067,-276.8277328239284
109,-4.153715960868283,-265.1269549270617,-5.7621949222705595,-7.4576553663404095,-273.35757622397233
110,-7.398359616761502,-254.731270702379,-8.970880631690529,-10.890865297457328,-255.77705967422798
111,-13.130140943151245,-243.04505203357985,-14.495574949279469,-15.765583745745282,-240.12770465519833
112,-9.5876633700416,-252.7330714976012,-10.253350907918557,-11.00217921217228,-256.9421260061876
113,-10.203602903698355,-256.16276261684084,-11.061878367006802,-12.184613753715468,-261.40621844947464
114,-9.640727089014911,-253.34586795213937,-10.86766872224669,-12.281299003105282,-258.96383938033125
115,-10.608204473970245,-252.7605074743189,-12.16306255170508,-14.019710215333422,-259.81800477760584
116,-9.507643358065968,-251.9562504693978,-11.238366004137884,-13.198774481894306,-260.45440411072013
117,-8.451526250524443,-247.30424285759545,-10.232448537747842,-12.182179563056089,-253.9473370636171
118,-7.719993501322051,-246.51342781355362,-9.5532172386859,-11.413270326223733,-253.9234611646815
119,-7.737860828216219,-246.8523845251118,-9.564872907133989,-11.403101952154127,-253.8096297160373
120,-5.770246870800623,-249.9207180944244,-7.256918142514532,-9.06128735900076,-257.6339586791986
121,-4.006575625135392,-257.02535463344583,-5.529360806130603,-7.256755118543795,-262.62663567560037
122,-4.082693520010734,-261.6531843791455,-5.617187155802121,-7.516197629229643,-268.9003700441864
123,-5.042610389649923,-266.4121690023227,-6.5778472299463076,-8.518462197154568,-275.377180165143
124,-7.074391498963525,-272.307961212123,-8.64524150280085,-10.54327359690137,-280.618427051024
125,-8.053900091156445,-274.9395092521505,-9.45747203153707,-11.132218347746186,-281.58825283383163
126,-8.727824379600728,-275.5663192855605,-10.063795447493861,-11.608179294062701,-280.0016525872219
127,-9.350914718800702,-278.0132265618085,-10.607011694601244,-12.08929806072922,-282.08712270577
128,-10.131468436263976,-275.2105738526102,-11.294643019694398,-12.503584768024474,-277.8259794994758
129,-10.195095725790248,-272.95464632097764,-10.993014453838386,-11.88938820288778,-273.22019974061817
130,-10.186688155311503,-271.229096351791,-10.677616337871557,-11.316741815339821,-271.0619578992154
131,-9.860119167348637,-270.2670838771221,-10.396477557653999,-11.086812175430227,-273.0576674564175
132,-10.384073509384805,-267.6224887646449,-11.03174073645955,-12.066374783982134,-268.55168947329776
133,-10.554733101535716,-262.65983897821064,-11.274894679546424,-12.002190053385387,-262.8186134761927
134,-10.287748220507213,-256.34170028493713,-10.927783658744845,-11.523622128766448,-257.0271487919865
135,-9.392684018914412,-257.3332806406726,-10.115872207110142,-11.132585232162732,-257.70157778988533
136,-9.229511449776775,-244.0822785924625,-10.360086291606398,-11.747862865707962,-245.17094706258837
137,-9.222210354219557,-245.41507870046377,-10.342103247196713,-11.70322735319629,-247.96144785139262
138,-9.047914352810224,-246.07512173143618,-10.069974898364,-11.370172325939397,-249.97120764318396
139,-10.000232267060216,-227.51353774603785,-11.15423437269712,-12.30110855073672,-231.71783226070283
140,-8.78366212368841,-224.8870251228493,-9.839310365322161,-10.991817953898888,-231.16488149183505
141,-8.43804286307601,-234.17118868562375,-9.27593100361921,-10.273673301836736,-239.48734801583265
142,-10.57867370542639,-238.1576975750972,-11.585558878128358,-12.618396182509908,-245.55386227570233
143,-9.55275549711227,-237.12584316825365,-10.520503659176885,-11.730226039682531,-242.52037665219865
