,ev_at108,ed_at106,ev_at88,ev_at67,ed_at65
0,-2.56653720795724,-25.146181941510463,-2.614269218030688,-2.316123798996598,-31.7660385584837
1,-2.8154522418671846,-30.008106628520437,-2.727081334804369,-2.165267156389919,-33.747211948267164
2,-2.8094431353994143,-24.84196316429515,-2.673622145926112,-2.2658693284679208,-30.70864585776212
3,-2.9072526706218254,-24.75851452693516,-2.882538457346719,-2.5662811373156282,-29.7514446072297
4,-3.0304391553215075,-24.44838165787303,-2.937161176678847,-2.4917244706593333,-29.576654633760597
5,-3.432742335649886,-20.237737182766864,-3.3617254212798806,-3.017112093128081,-27.48802412762649
6,-3.437883893102027,-15.158601030085435,-3.5592299823723303,-3.31486942142679,-21.47406760198001
7,-4.320923736986428,-2.016877189744008,-4.516095209229274,-4.052605262965338,-15.343301441680524
8,-3.5850965173742244,-4.978339120135701,-4.245018485205938,-4.183789875777336,-13.274074281088645
9,-3.198994274963896,-9.146960883895986,-3.263798106852641,-3.1155700401448785,-19.387737389283842
10,-3.234291960090772,-10.228896853683466,-3.2270228501653384,-3.1064436296732723,-18.348928443066967
11,-3.539618292331067,-8.287857073526538,-3.8320302004820426,-3.792991335639633,-15.229616983028563
12,-3.765644108589702,-15.546424834207613,-3.7880742939761873,-3.5223074662800036,-21.302605922395628
13,-4.019924316896409,-9.78296331469619,-4.095131671489438,-4.118019616386523,-13.337547197659688
14,-3.8278589899684725,-4.163238147492251,-4.215533475461645,-4.267147299432486,-8.54718894644185
15,-4.340684183977452,-2.7124288100915805,-4.8189141696554945,-4.516490267827665,-10.969185283434683
16,-4.181664617503686,-0.21689071060012566,-4.611916120002826,-4.378448502346307,-5.349250433603316
17,-4.243892025561497,11.181611389367191,-4.265503137502432,-4.110121943114567,4.140169835143212
18,-4.598684577260866,20.448651361839183,-4.419238644969635,-4.057861909602997,17.434387219813914
19,-4.676552857294187,19.697656097295464,-4.526065369328649,-4.12915340065905,15.652709139284354
20,-4.073209347357363,12.965647091339605,-4.260412753780548,-4.175560996973085,10.83874225886359
21,-3.5192882689827987,13.251240055249099,-3.632208291431526,-3.7066898255224343,8.025043069273494
22,-3.496030910857803,8.698313548081245,-3.6352580793647755,-3.510282217041662,5.337655558559277
23,-3.2960707128552897,2.3435162424443092,-3.9204210491011438,-4.034459880442267,-3.146064426115487
24,-2.6810938872586254,-3.866084450787895,-3.1008996047016395,-3.2454403355657044,-8.420665044452704
25,-2.837679820418361,-10.761770510158584,-3.255733038542816,-3.136787056017085,-15.334804514219172
26,-2.8990247723951863,-3.6055164150008068,-3.343182502923147,-3.568597265600033,-8.217282674803926
27,-2.543965673089523,2.4652347250546143,-3.371048419844415,-3.755627626935967,0.8165622296154709
28,-3.0533879644961726,3.7759337824123804,-3.6818326847337377,-3.9447821044914564,-0.9043607617148552
29,-2.7821684026127986,-1.9491473373013264,-3.1600930517722774,-3.5585377712995077,-2.6398746080358535
30,-2.4506460461750135,-1.9333546663180243,-2.6764070950060366,-2.8671410411895715,-5.609111624995563
31,-2.591317223788771,0.1463327256582545,-2.6426421687723356,-2.5327017340596427,-5.477630742815478
